signal_a,signal_b,position,relationship_type,rho
creativity,ict_index,DEF,algebraic_decomposition,0.5604
ict_index,influence,DEF,algebraic_decomposition,0.7163
xa,xgi,DEF,algebraic_decomposition,0.6789
xg,xgi,DEF,algebraic_decomposition,0.7006
fdr_avg,fdr_max,DEF,statistical_redundancy,1.0
fdr_avg,fdr_min,DEF,statistical_redundancy,1.0
fdr_max,fdr_min,DEF,statistical_redundancy,1.0
ownership_count,transfers_out,DEF,statistical_redundancy,0.8557
creativity,ict_index,FWD,algebraic_decomposition,0.426
ict_index,influence,FWD,algebraic_decomposition,0.8605
xa,xgi,FWD,algebraic_decomposition,0.2507
xg,xgi,FWD,algebraic_decomposition,0.9514
bps,influence,FWD,statistical_redundancy,0.8582
fdr_avg,fdr_max,FWD,statistical_redundancy,1.0
fdr_avg,fdr_min,FWD,statistical_redundancy,1.0
fdr_max,fdr_min,FWD,statistical_redundancy,1.0
creativity,ict_index,GK,algebraic_decomposition,0.1268
ict_index,influence,GK,algebraic_decomposition,0.9859
xa,xgi,GK,algebraic_decomposition,0.9911
xg,xgi,GK,algebraic_decomposition,0.1191
fdr_avg,fdr_max,GK,statistical_redundancy,1.0
fdr_avg,fdr_min,GK,statistical_redundancy,1.0
fdr_max,fdr_min,GK,statistical_redundancy,1.0
ict_index,saves,GK,statistical_redundancy,0.8922
influence,saves,GK,statistical_redundancy,0.9133
creativity,ict_index,MID,algebraic_decomposition,0.7306
ict_index,influence,MID,algebraic_decomposition,0.7643
xa,xgi,MID,algebraic_decomposition,0.6812
xg,xgi,MID,algebraic_decomposition,0.7602
fdr_avg,fdr_max,MID,statistical_redundancy,1.0
fdr_avg,fdr_min,MID,statistical_redundancy,1.0
fdr_max,fdr_min,MID,statistical_redundancy,1.0
ownership_count,transfers_out,MID,statistical_redundancy,0.8697
