signal_a,signal_b,target,position,partial_rho
creativity,ict_index,total_points,DEF,0.5867
fdr_avg,fdr_max,total_points,DEF,0.9884
fdr_avg,fdr_min,total_points,DEF,0.9935
fdr_max,fdr_min,total_points,DEF,0.9717
ict_index,influence,total_points,DEF,0.6852
ownership_count,transfers_out,total_points,DEF,0.8557
xa,xgi,total_points,DEF,0.6819
xg,xgi,total_points,DEF,0.694
bps,influence,total_points,FWD,0.5783
creativity,ict_index,total_points,FWD,0.4294
fdr_avg,fdr_max,total_points,FWD,0.989
fdr_avg,fdr_min,total_points,FWD,0.9924
fdr_max,fdr_min,total_points,FWD,0.9713
ict_index,influence,total_points,FWD,0.6794
xa,xgi,total_points,FWD,0.1957
xg,xgi,total_points,FWD,0.9344
creativity,ict_index,total_points,GK,0.1238
fdr_avg,fdr_max,total_points,GK,0.9906
fdr_avg,fdr_min,total_points,GK,0.9951
fdr_max,fdr_min,total_points,GK,0.9776
ict_index,influence,total_points,GK,0.9845
ict_index,saves,total_points,GK,0.8823
influence,saves,total_points,GK,0.9053
xa,xgi,total_points,GK,0.9912
xg,xgi,total_points,GK,0.1176
creativity,ict_index,total_points,MID,0.7643
fdr_avg,fdr_max,total_points,MID,0.9899
fdr_avg,fdr_min,total_points,MID,0.9939
fdr_max,fdr_min,total_points,MID,0.9745
ict_index,influence,total_points,MID,0.653
ownership_count,transfers_out,total_points,MID,0.8685
xa,xgi,total_points,MID,0.6746
xg,xgi,total_points,MID,0.7401
