signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
FIXTURE-001,fdr_avg,GKP,full,-0.1472,-0.2242,-0.0727,613,True
FIXTURE-001,fdr_avg,GKP,full_no_dgw,-0.1518,-0.2279,-0.071,605,True
FIXTURE-001,fdr_avg,DEF,full,-0.1964,-0.2341,-0.1578,2455,True
FIXTURE-001,fdr_avg,DEF,full_no_dgw,-0.1955,-0.2336,-0.155,2417,True
FIXTURE-001,fdr_avg,MID,full,-0.159,-0.1945,-0.1222,2673,True
FIXTURE-001,fdr_avg,MID,full_no_dgw,-0.1548,-0.1912,-0.117,2627,True
FIXTURE-001,fdr_avg,FWD,full,-0.0915,-0.1678,-0.014,610,True
FIXTURE-001,fdr_avg,FWD,full_no_dgw,-0.0915,-0.1655,-0.0133,599,True
FIXTURE-002,was_home,GKP,full,0.0577,-0.0174,0.1351,605,False
FIXTURE-002,was_home,GKP,full_no_dgw,0.0577,-0.0174,0.1351,605,False
FIXTURE-002,was_home,DEF,full,0.0684,0.0284,0.1101,2417,True
FIXTURE-002,was_home,DEF,full_no_dgw,0.0684,0.0284,0.1101,2417,True
FIXTURE-002,was_home,MID,full,0.0443,0.0064,0.0827,2627,True
FIXTURE-002,was_home,MID,full_no_dgw,0.0443,0.0064,0.0827,2627,True
FIXTURE-002,was_home,FWD,full,0.0094,-0.0649,0.0872,599,False
FIXTURE-002,was_home,FWD,full_no_dgw,0.0094,-0.0649,0.0872,599,False
FIXTURE-003,fixture_count,DEF,full,0.0976,0.0553,0.1361,2455,True
FIXTURE-003,fixture_count,DEF,full_no_dgw,,,,2417,False
FIXTURE-003,fixture_count,MID,full,0.0831,0.046,0.1178,2673,True
FIXTURE-003,fixture_count,MID,full_no_dgw,,,,2627,False
